Type,Number,Page,Title,Alternate Title 1,Alternate Title 2,Alternate Title 3,Alternate Title 4,Alternate Title 5,Alternate Title 6,Alternate Title 7,Alternate Title 8,Alternate Title 9,Alternate Title 10,Alternate Title 11,Alternate Title 12,Alternate Title 13,Alternate Title 14,Alternate Title 15,Alternate Title 16,Alternate Title 17,Alternate Title 18,Alternate Title 19
Reel,692,122,Comely Jane Dowling,,,,,,,,,,,,,,,,,,,
Reel,693,123,The Maid at the Churn,,,,,,,,,,,,,,,,,,,
Reel,694,123,A Moonlight Ramble,,,,,,,,,,,,,,,,,,,
Reel,695,123,"Girls, Who Will Take Him?",Girls Will You Take Him?,,,,,,,,,,,,,,,,,,
Reel,696,123,Bill Clancy's Delight,,,,,,,,,,,,,,,,,,,
Reel,697,123,The Jolly Seven,,,,,,,,,,,,,,,,,,,
Reel,698,123,The Skibbereen Lasses,,,,,,,,,,,,,,,,,,,
Reel,699,123,The Humors of Schull,The Humours of Schull,,,,,,,,,,,,,,,,,,
Reel,700,124,After the Sun Goes Down,,,,,,,,,,,,,,,,,,,
Reel,701,124,Farewell To Erin,,,,,,,,,,,,,,,,,,,
Reel,702,124,On the Riverbank,,,,,,,,,,,,,,,,,,,
Reel,703,124,Fairhaired Mary,Fair-Haired Mary,,,,,,,,,,,,,,,,,,
Reel,704,124,Pretty Peggy,,,,,,,,,,,,,,,,,,,
Reel,705,124,More Power to Your Elbow,,,,,,,,,,,,,,,,,,,
Reel,706,124,Green Garters,,,,,,,,,,,,,,,,,,,
Reel,707,125,Jenny's Wedding,,,,,,,,,,,,,,,,,,,
Reel,708,125,The Maid of Athlone,,,,,,,,,,,,,,,,,,,
Reel,709,125,Keeper Hill,,,,,,,,,,,,,,,,,,,
Reel,710,125,Good Morning To Your Nightcap,,,,,,,,,,,,,,,,,,,
Reel,711,125,I'm Waiting For You,,,,,,,,,,,,,,,,,,,
Reel,712,125,O'Reilly Greyhound,O'Reilly's Greyhound,Outdoor Relief,,,,,,,,,,,,,,,,,
Reel,713,126,Courting Them All,The Bashful Bachelor,Don't Bother Me,The Moving Bog,,,,,,,,,,,,,,,,
Reel,714,126,The Green Jacket,,,,,,,,,,,,,,,,,,,
Reel,715,126,My Honey in the House,,,,,,,,,,,,,,,,,,,
Reel,716,126,McFadden's Favorite,McFadden's Favourite,My Love is in the House,,,,,,,,,,,,,,,,,
Reel,717,126,The Callan Lasses,,,,,,,,,,,,,,,,,,,
Reel,718,126,Are You Willing?,,,,,,,,,,,,,,,,,,,
Reel,719,126,The Traveller,Walker Street,,,,,,,,,,,,,,,,,,
Reel,720,127,Kiss the Bride,,,,,,,,,,,,,,,,,,,
Reel,721,127,Duffy the Dancer,,,,,,,,,,,,,,,,,,,
Reel,722,127,Welcome Home,,,,,,,,,,,,,,,,,,,
Reel,723,127,The Linen Cap,,,,,,,,,,,,,,,,,,,
Reel,724,127,The Contradiction Reel,Miss Gunning's Fancy,,,,,,,,,,,,,,,,,,
Reel,725,127,The Smoky House,,,,,,,,,,,,,,,,,,,
Reel,726,127,Molly McCarthy,,,,,,,,,,,,,,,,,,,
Reel,727,128,Rolling Down the Hill,,,,,,,,,,,,,,,,,,,
Reel,728,128,The Merry Blacksmith,The Corkonian,Ike Forrester's Reel,Paddy on the Railroad,,,,,,,,,,,,,,,,
Reel,729,128,Scotch Mary,My Love is Far Away,,,,,,,,,,,,,,,,,,
Reel,730,128,Within a Mile of Dublin,,,,,,,,,,,,,,,,,,,
Reel,731,128,The Cameronian Reel,,,,,,,,,,,,,,,,,,,
Reel,732,128,Winter Apples,The Galway Reel,,,,,,,,,,,,,,,,,,
Reel,733,128,The Primrose Lass,,,,,,,,,,,,,,,,,,,
Reel,734,129,Shearing the Sheep,,,,,,,,,,,,,,,,,,,
Reel,735,129,Paddy's Surprise,,,,,,,,,,,,,,,,,,,
Reel,736,129,Captain Byng,,,,,,,,,,,,,,,,,,,
Reel,737,129,The Wind That Shakes the Barley,I Sat Within the Valley Green,,,,,,,,,,,,,,,,,,
Reel,738,129,The Piper's Son,,,,,,,,,,,,,,,,,,,
Reel,739,129,Turkeys in the Straw,,,,,,,,,,,,,,,,,,,
Reel,740,129,William White's Reel,,,,,,,,,,,,,,,,,,,
Reel,741,130,Murtough Molloy,,,,,,,,,,,,,,,,,,,
Reel,742,130,The Field of Oats,,,,,,,,,,,,,,,,,,,
Reel,743,130,The Humors of Newcastle,The Humours of Newcastle,,,,,,,,,,,,,,,,,,
Reel,744,130,Paddy Murphy's Wife,,,,,,,,,,,,,,,,,,,
Reel,745,130,The Girl With the Laughing Eyes,,,,,,,,,,,,,,,,,,,
Reel,746,130,Give Us Another,,,,,,,,,,,,,,,,,,,
Reel,747,130,The Northern Lasses,,,,,,,,,,,,,,,,,,,
Reel,748,131,Clarkson's Reel,,,,,,,,,,,,,,,,,,,
Reel,749,131,Rakish Paddy,,,,,,,,,,,,,,,,,,,
Reel,750,131,The Mullingar Races,,,,,,,,,,,,,,,,,,,
Reel,751,131,The Jolly Tinker,,,,,,,,,,,,,,,,,,,
Reel,752,131,The Queen's Shilling,The Kilkenny Boys,Lady Mary Ramsey,,,,,,,,,,,,,,,,,
Reel,753,131,Little Katie Kearney,,,,,,,,,,,,,,,,,,,
Reel,754,131,The Maid in the Cherry Tree,,,,,,,,,,,,,,,,,,,
Reel,755,132,The Watchmaker,,,,,,,,,,,,,,,,,,,
Reel,756,132,The Same Old Story,,,,,,,,,,,,,,,,,,,
Reel,757,132,The Fourpenny Bit,,,,,,,,,,,,,,,,,,,
Reel,758,132,The Jug of Punch,,,,,,,,,,,,,,,,,,,
Reel,759,132,The Grey Plover,,,,,,,,,,,,,,,,,,,
Reel,760,132,My Sweetheart Jane,The Life of Man,,,,,,,,,,,,,,,,,,
Reel,761,132,Kiss Your Partner,,,,,,,,,,,,,,,,,,,
Reel,762,133,Corney Is Coming,,,,,,,,,,,,,,,,,,,
Reel,763,133,The Mountain Rose,,,,,,,,,,,,,,,,,,,
Reel,764,133,The Green Gates,,,,,,,,,,,,,,,,,,,
Reel,765,133,The Western Lasses,,,,,,,,,,,,,,,,,,,
Reel,766,133,Rolling on the Ryegrass,Maureen Playboy,Old Molly Ahern,The Piper's Lass,The Rathkeale Hunt,The Shannon Breeze,,,,,,,,,,,,,,
Reel,767,133,The Four-Hand Reel,The Ballyvaughan Reel,Corporal Casey,The Five Mile Chase,Miss Gardner,Parnell's Reel,The Yellowhaired Laddie,,,,,,,,,,,,,
Reel,768,134,The Flowers of Limerick,Cronin's Favorite,Cronin's Favourite,The Ewe With the Crooked Horn,Paddy on the Turnpike,,,,,,,,,,,,,,,
Reel,769,134,The Piper's Despair,,,,,,,,,,,,,,,,,,,
Reel,770,134,The Edenderry Reel,,,,,,,,,,,,,,,,,,,
Reel,771,134,The Old Bog Ground,,,,,,,,,,,,,,,,,,,
Reel,772,134,The Absentminded Woman,The Absent-Minded Woman,,,,,,,,,,,,,,,,,,
Reel,773,134,The Hag By the Fire,,,,,,,,,,,,,,,,,,,
Reel,774,135,Johnny Allen's Reel,,,,,,,,,,,,,,,,,,,
Reel,775,135,The Maid of Feakle,,,,,,,,,,,,,,,,,,,
Reel,776,135,The Humors of Scarriff,The Humours of Scarriff,,,,,,,,,,,,,,,,,,
Reel,777,135,The Rambler in Cork,,,,,,,,,,,,,,,,,,,
Reel,778,135,The Maids of Kilmallock,,,,,,,,,,,,,,,,,,,
Reel,779,135,The Heather Breeze,,,,,,,,,,,,,,,,,,,
Reel,780,135,Cooleen Bridge,,,,,,,,,,,,,,,,,,,
Reel,781,136,Captain Rock,,,,,,,,,,,,,,,,,,,
Reel,782,136,The Tinker's Reel,,,,,,,,,,,,,,,,,,,
Reel,783,136,The Maids of Tulla,,,,,,,,,,,,,,,,,,,
Reel,784,136,The Gaelic Revival,,,,,,,,,,,,,,,,,,,
Reel,785,136,A Ha'porth of Tea,,,,,,,,,,,,,,,,,,,
Reel,786,136,Over the Moor to Maggie,,,,,,,,,,,,,,,,,,,
Reel,787,137,Bunker Hill,,,,,,,,,,,,,,,,,,,
Reel,788,137,The King of the Clans,,,,,,,,,,,,,,,,,,,
Reel,789,137,Boil the Beefsteak Early,Boil the Breakfast Early,Court Her Along the Road,The Wild Irishman,,,,,,,,,,,,,,,,
Reel,790,137,The Maid I Ne'er Forgot,,,,,,,,,,,,,,,,,,,
Reel,791,137,The Honeymoon Reel,The Girl From the Country,The Ha'penny Reel,Rooney's Reel,,,,,,,,,,,,,,,,
Reel,792,137,The Cup of Tea,The Unfortunate Cup of Tea,,,,,,,,,,,,,,,,,,
Reel,793,137,Come West Along the Road,,,,,,,,,,,,,,,,,,,
Reel,794,138,The Long Strand,,,,,,,,,,,,,,,,,,,
Reel,795,138,The Teetotaler's Fancy,O'Connell's Welcome to Clare,The Temperance Reel,,,,,,,,,,,,,,,,,
Reel,796,138,Kitty in the Lane,Lower Ormond,,,,,,,,,,,,,,,,,,
Reel,797,138,The Chicago Reel,,,,,,,,,,,,,,,,,,,
Reel,798,138,Mrs. Delaney,,,,,,,,,,,,,,,,,,,
Reel,799,138,Mayor Harrison's Fedora,,,,,,,,,,,,,,,,,,,
Reel,800,138,Miss Fahey's Fancy,,,,,,,,,,,,,,,,,,,
Reel,801,139,Clancy's Fancy Reel,,,,,,,,,,,,,,,,,,,
Reel,802,139,The Shaskeen Reel,,,,,,,,,,,,,,,,,,,
Reel,803,139,Peter Street,Miller's Frolics,Timor the Tartar,,,,,,,,,,,,,,,,,
Reel,804,139,Pay the Girl Her Fourpence,,,,,,,,,,,,,,,,,,,
Reel,805,139,Farewell To Ireland,,,,,,,,,,,,,,,,,,,
Hornpipe,806,140,Chief O'Neill's Favorite,Chief O'Neill's Favourite,,,,,,,,,,,,,,,,,,
Hornpipe,807,140,The Greencastle Hornpipe,The Limerick Hornpipe,,,,,,,,,,,,,,,,,,
Hornpipe,808,140,The Cloone Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,809,140,The Kildare Fancy,,,,,,,,,,,,,,,,,,,
Hornpipe,810,140,Dunphy's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,811,141,The Rights of Man,,,,,,,,,,,,,,,,,,,
Hornpipe,812,141,Slievenamon,,,,,,,,,,,,,,,,,,,
Hornpipe,813,141,Hennessy's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,814,141,The Quarrelsome Piper,,,,,,,,,,,,,,,,,,,
Hornpipe,815,141,The Devil's Dream,The Devil Among the Tailors,,,,,,,,,,,,,,,,,,
Hornpipe,816,141,The Liverpool Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,817,142,The Tinware Lass,The Pewter Mug,,,,,,,,,,,,,,,,,,
Hornpipe,818,142,Hillside Cottage,,,,,,,,,,,,,,,,,,,
Hornpipe,819,142,The Heather Glen,Douglas' Favorite,Douglas' Favourite,,,,,,,,,,,,,,,,,
Hornpipe,820,142,Limerick Junction,,,,,,,,,,,,,,,,,,,
Hornpipe,821,142,The Top of the Morning,Come Down and Let Me In,Miss Flynn,,,,,,,,,,,,,,,,,
Hornpipe,822,142,Hick's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,823,142,Bantry Bay,The Union Hornpipe,,,,,,,,,,,,,,,,,,
Hornpipe,824,143,The Boys from Scart,,,,,,,,,,,,,,,,,,,
Hornpipe,825,143,Fisher's Hornpipe,The Egg Hornpipe,,,,,,,,,,,,,,,,,,
Hornpipe,826,143,The Sailor's Hornpipe (Number 1),,,,,,,,,,,,,,,,,,,
Hornpipe,827,143,The Sailor's Hornpipe (Number 2),,,,,,,,,,,,,,,,,,,
Hornpipe,828,143,The Wicklow Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,829,143,Miss Brown's Fancy,,,,,,,,,,,,,,,,,,,
Hornpipe,830,143,The Men From Mallow,,,,,,,,,,,,,,,,,,,
Hornpipe,831,144,McCarthy's Hornpipe,McCarty's Hornpipe,,,,,,,,,,,,,,,,,,
Hornpipe,832,144,Big Dan O'Mahony,,,,,,,,,,,,,,,,,,,
Hornpipe,833,144,The Trumpet Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,834,144,The Mullingar Races,May Day,,,,,,,,,,,,,,,,,,
Hornpipe,835,144,The Kilkenny Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,836,144,Jerry Daly's Hornpipe,The Poor Old Woman,,,,,,,,,,,,,,,,,,
Hornpipe,837,144,The Banks of the Ilen,Six-Mile Bridge,,,,,,,,,,,,,,,,,,
Hornpipe,838,145,Kit O'Mahony's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,839,145,The Boys of Ballysimon,,,,,,,,,,,,,,,,,,,
Hornpipe,840,145,Fair and Forty,,,,,,,,,,,,,,,,,,,
Hornpipe,841,145,The Slipper Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,842,145,O'Dwyer's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,843,146,Grove's Hornpipe,The Groves Hornpipe,,,,,,,,,,,,,,,,,,
Hornpipe,844,146,The First of June,,,,,,,,,,,,,,,,,,,
Hornpipe,845,146,The Last of the Twins,,,,,,,,,,,,,,,,,,,
Hornpipe,846,146,Kitty's Wedding,Smith's Delight,,,,,,,,,,,,,,,,,,
Hornpipe,847,146,The Harvest Home,The Cincinnati Hornpipe,The Cork Hornpipe,,,,,,,,,,,,,,,,,
Hornpipe,848,147,The Echo Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,849,147,Murray's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,850,147,McDermott's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,851,147,Glengariff Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,852,147,The Sweep's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,853,147,Galway Bay,,,,,,,,,,,,,,,,,,,
Hornpipe,854,148,Coming From the Wedding,,,,,,,,,,,,,,,,,,,
Hornpipe,855,148,Cronin's Rambles,,,,,,,,,,,,,,,,,,,
Hornpipe,856,148,Murphy's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,857,148,The Fair Maidens,,,,,,,,,,,,,,,,,,,
Hornpipe,858,148,The Little Stack of Barley,Little Mary Cassidy,Evening Was Waning,Patrick Condon's Vision,,,,,,,,,,,,,,,,
Hornpipe,859,148,Off To California,,,,,,,,,,,,,,,,,,,
Hornpipe,860,148,Thirty Years Ago,,,,,,,,,,,,,,,,,,,
Hornpipe,861,149,Youghal Harbor,Youghal Harbour,,,,,,,,,,,,,,,,,,
Hornpipe,862,149,Rogers O'Neill,,,,,,,,,,,,,,,,,,,
Hornpipe,863,149,The Night We Made the Match,,,,,,,,,,,,,,,,,,,
Hornpipe,864,149,The Pleasures of Hope,,,,,,,,,,,,,,,,,,,
Hornpipe,865,149,Byrne's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,866,149,"Whiskey, You're the Devil!",The Gypsy Hornpipe,,,,,,,,,,,,,,,,,,
Hornpipe,867,150,The Scholar,,,,,,,,,,,,,,,,,,,
Hornpipe,868,150,The Soldier's Joy,,,,,,,,,,,,,,,,,,,
Hornpipe,869,150,The Clover Blossom,The Handorgan Hornpipe,The Harlequin Hornpipe,,,,,,,,,,,,,,,,,
Hornpipe,870,150,The Glasgow Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,871,150,Old Man Quinn,,,,,,,,,,,,,,,,,,,
Hornpipe,872,150,The Green Banner,,,,,,,,,,,,,,,,,,,
Hornpipe,873,151,The Golden Vale,,,,,,,,,,,,,,,,,,,
Hornpipe,874,151,The Honeysuckle,,,,,,,,,,,,,,,,,,,
Hornpipe,875,151,The Star Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,876,151,O'Connor's Fancy,,,,,,,,,,,,,,,,,,,
Hornpipe,877,151,Sault's Own Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,878,151,Tomorrow Morning,,,,,,,,,,,,,,,,,,,
Hornpipe,879,151,Clark's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,880,152,The Peacemaker,,,,,,,,,,,,,,,,,,,
Hornpipe,881,152,Father Dollard's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,882,152,The Sea Captain,Young Lads Prepared For Marriage,,,,,,,,,,,,,,,,,,
Hornpipe,883,152,The Humors of Ballyconnell,The Humours of Ballyconnell,Ballyhaunis,,,,,,,,,,,,,,,,,
Hornpipe,884,152,Early in the Morning,,,,,,,,,,,,,,,,,,,
Hornpipe,885,152,Julia's Wedding,"Kiss Me, Joe",,,,,,,,,,,,,,,,,,
Hornpipe,886,152,Bill Black's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,887,153,Whistling Mike,,,,,,,,,,,,,,,,,,,
Hornpipe,888,153,The Spring Garden,,,,,,,,,,,,,,,,,,,
Hornpipe,889,153,O'Donnell's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,890,153,Ballincollig in the Morning,,,,,,,,,,,,,,,,,,,
Hornpipe,891,153,The Flowers of Spring,,,,,,,,,,,,,,,,,,,
Hornpipe,892,153,The Woods of Kilkenny,,,,,,,,,,,,,,,,,,,
Hornpipe,893,153,O'Donovan's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,894,154,The Friendly Visit,,,,,,,,,,,,,,,,,,,
Hornpipe,895,154,Tim the Turncoat,,,,,,,,,,,,,,,,,,,
Hornpipe,896,154,The Old Vest and Cravat,John Doe,Shanavest and Corovoth,The Wicked Yeoman,,,,,,,,,,,,,,,,
Hornpipe,897,154,The Lakeside Road,,,,,,,,,,,,,,,,,,,
Hornpipe,898,154,The Boys of Bluehill,,,,,,,,,,,,,,,,,,,
Hornpipe,899,154,The First of May,,,,,,,,,,,,,,,,,,,
Hornpipe,900,154,Autumn Woods,,,,,,,,,,,,,,,,,,,
Hornpipe,901,154,The Fiddlers' Contest,,,,,,,,,,,,,,,,,,,
Hornpipe,902,155,Bonaparte's Defeat,,,,,,,,,,,,,,,,,,,
Hornpipe,903,155,Corney Drew's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,904,155,O'Connor's Favorite,O'Connor's Favourite,,,,,,,,,,,,,,,,,,
Hornpipe,905,155,The Hunter's Hornpipe,The First Day of Spring,Reynard the Fox,,,,,,,,,,,,,,,,,
Hornpipe,906,155,The Fairies' Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,907,155,The Handsome Plowboy,,,,,,,,,,,,,,,,,,,
Hornpipe,908,155,The Pet of the House,The Coliseum Hornpipe,,,,,,,,,,,,,,,,,,
Hornpipe,909,156,The Queen of May,,,,,,,,,,,,,,,,,,,
Hornpipe,910,156,The Man From Newry,,,,,,,,,,,,,,,,,,,
Hornpipe,911,156,Spellan the Fiddler,,,,,,,,,,,,,,,,,,,
Hornpipe,912,156,The Widow Cantwell's fancy,,,,,,,,,,,,,,,,,,,
Hornpipe,913,156,The Cuckoo's Nest,Jacky Tar,The Mower,,,,,,,,,,,,,,,,,
Hornpipe,914,156,Higgins' Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,915,157,Jack's the Lad,Jacks the Lad,The College Hornpipe,,,,,,,,,,,,,,,,,
Hornpipe,916,157,Cooney's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,917,157,Gillespie's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,918,157,Back of the Haggard,,,,,,,,,,,,,,,,,,,
Hornpipe,919,157,The Mountains of Kerry,The Mountain Hornpipe,,,,,,,,,,,,,,,,,,
Hornpipe,920,157,The Flowers of Edinburgh,The Flowers of Donnybrook,My Love Was Once a Bonnie Lad,Rossaviel,"To the Battle, Men of Erin",,,,,,,,,,,,,,,
Hornpipe,921,157,The Redhaired Boy,,,,,,,,,,,,,,,,,,,
Hornpipe,922,158,The Fancy Fair,,,,,,,,,,,,,,,,,,,
Hornpipe,923,158,The Wily Old Bachelor,,,,,,,,,,,,,,,,,,,
Hornpipe,924,158,The Old Storyteller,The Old Story-Teller,,,,,,,,,,,,,,,,,,
Hornpipe,925,158,The Londonderry Hornpipe,Delaney's Favorite,Delaney's Favourite,The Showman's Clog,,,,,,,,,,,,,,,,
Hornpipe,926,158,Hawk's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,927,159,Always Welcome,,,,,,,,,,,,,,,,,,,
Hornpipe,928,159,Jim Boulton's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,929,159,John Carey's Daughter,,,,,,,,,,,,,,,,,,,
Hornpipe,930,159,Where Did You Find Her?,,,,,,,,,,,,,,,,,,,
Hornpipe,931,159,Roger Was a Plowboy,,,,,,,,,,,,,,,,,,,
Hornpipe,932,159,The Kilfinane Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,933,159,Whitney's Fancy,,,,,,,,,,,,,,,,,,,
Hornpipe,934,160,The Seaman's Club,,,,,,,,,,,,,,,,,,,
Hornpipe,935,160,The Humors of Castle Bernard,The Humours of Castle Bernard,,,,,,,,,,,,,,,,,,
Hornpipe,936,160,Durang's Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,937,160,The Bantry Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,938,160,Caroline O'Neill's Hornpipe, ,,,,,,,,,,,,,,,,,,
Hornpipe,939,161,The New Century,,,,,,,,,,,,,,,,,,,
Hornpipe,940,161,Rick's Rambles,,,,,,,,,,,,,,,,,,,
Hornpipe,941,161,The Horse and Jockey,,,,,,,,,,,,,,,,,,,
Hornpipe,942,161,The Humors of Ballinlass,The Humours of Ballinlass,,,,,,,,,,,,,,,,,,
Hornpipe,943,161,Beside a Rath,,,,,,,,,,,,,,,,,,,
Hornpipe,944,161,Madam If You Please,The Girl of the Golden Tresses,,,,,,,,,,,,,,,,,,
Hornpipe,945,161,The Wren Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,946,162,Biddy Early,,,,,,,,,,,,,,,,,,,
Hornpipe,947,162,Swinging Around the Circle,,,,,,,,,,,,,,,,,,,
Hornpipe,948,162,The Drunken Sailor,,,,,,,,,,,,,,,,,,,
Hornpipe,949,162,Tomgraney Castle,,,,,,,,,,,,,,,,,,,
Hornpipe,950,162,Galtee Mountain,,,,,,,,,,,,,,,,,,,
Hornpipe,951,162,Paddy Mack,,,,,,,,,,,,,,,,,,,
Hornpipe,952,163,The Sunshine Hornpipe,The Great Eastern,The Great Western,Shunster's Hornpipe,,,,,,,,,,,,,,,,
Hornpipe,953,163,Dick Sands' Hornpipe,,,,,,,,,,,,,,,,,,,
Hornpipe,954,163,The Pleasures of Home,,,,,,,,,,,,,,,,,,,
Hornpipe,955,163,We'll Drink Good Health,,,,,,,,,,,,,,,,,,,
Long Dance,956,164,The Ace and Deuce of Pipering,,,,,,,,,,,,,,,,,,,
Long Dance,957,164,The Downfall of Paris,,,,,,,,,,,,,,,,,,,
Long Dance,958,164,Rodney's Glory,An Irishman's Return from America,My Name is Moll Mackey,The Praises of Limerick,,,,,,,,,,,,,,,,
Long Dance,959,165,The Rambling Rake,,,,,,,,,,,,,,,,,,,
Long Dance,960,165,The Funny Tailor,The Lark in the Clear Air,The Return Home,,,,,,,,,,,,,,,,,
Long Dance,961,165,The Three Captains,The Three Sea Captains,William Clark's Favorite,William Clark's Favourite,,,,,,,,,,,,,,,,
Long Dance,962,165,Madam Bonaparte,Bonaparte's Advance,,,,,,,,,,,,,,,,,,
Long Dance,963,165,The Hurling Boys,,,,,,,,,,,,,,,,,,,
Long Dance,964,165,The Lodge Road,,,,,,,,,,,,,,,,,,,
Long Dance,965,166,Is the Big Man Within?,Far Mor the,The Merry Tailor,,,,,,,,,,,,,,,,,
Long Dance,966,166,The Job of Journeywork,,,,,,,,,,,,,,,,,,,
Long Dance,967,166,John O'Dwyer of the Glens,,,,,,,,,,,,,,,,,,,
Long Dance,968,166,Rub the Bag,,,,,,,,,,,,,,,,,,,
Long Dance,969,166,The Jockey at the Fair,,,,,,,,,,,,,,,,,,,
Long Dance,970,166,The Barony Jig,,,,,,,,,,,,,,,,,,,
Long Dance,971,167,Hurry the Jug,Once On a Morning of Sweet Recreation,,,,,,,,,,,,,,,,,,
Long Dance,972,167,Spalpeen Fanach,As Slow Our Ship,Brighton Camp,The Girl I Left Behind Me,The Rambling Laborer,The Rambling Labourer,,,,,,,,,,,,,,
Long Dance,973,167,Planxty Davis,The Battle of Killicrankie,Killicranky,,,,,,,,,,,,,,,,,
Long Dance,974,167,The Garden of Daisies,,,,,,,,,,,,,,,,,,,
Long Dance,975,167,St. Patrick's Day,"Oh! Erin, My Country",Sheelah's Wedding,Though Dark Be Our Sorrows,,,,,,,,,,,,,,,,
Long Dance,976,168,The Hunt,The Galtee Hunt,,,,,,,,,,,,,,,,,,
Long Dance,977,168,The Humors of Bandon,The Humours of Bandon,The Jolly Old Woman,,,,,,,,,,,,,,,,,
Long Dance,978,168,The Orange Rogue,The Bunch of Clover,,,,,,,,,,,,,,,,,,
Long Dance,979,168,King of the Fairies,,,,,,,,,,,,,,,,,,,
Long Dance,980,168,Bonaparte's Retreat,,,,,,,,,,,,,,,,,,,
Long Dance,981,168,The White Blanket,,,,,,,,,,,,,,,,,,,
Long Dance,982,169,The Bold Deserter,,,,,,,,,,,,,,,,,,,
Long Dance,983,169,Poll Ha'penny,Brian the Brave,Molly Ha'penny,Molly Macalpin,,,,,,,,,,,,,,,,
Long Dance,984,169,The Blackthorn Stick,,,,,,,,,,,,,,,,,,,
Long Dance,985,169,The Blackbird,,,,,,,,,,,,,,,,,,,
Miscellaneous,986,170,The Fairy Dance,The Haymakers,,,,,,,,,,,,,,,,,,
Miscellaneous,987,170,Billy O'Rourke is the Boy,The Day I Married Susan,The Fair of Windgap,Roudlum Randy,,,,,,,,,,,,,,,,
Miscellaneous,988,170,Follow Me Down to Carlow,,,,,,,,,,,,,,,,,,,
Miscellaneous,989,170,Tow Row Row,It Is Day,Paddy Will You Now?,Take Me Now While I'm In Humor,Take Me Now While I'm In Humour,,,,,,,,,,,,,,,
Miscellaneous,990,170,Dancing the Baby,,,,,,,,,,,,,,,,,,,
Miscellaneous,991,171,The Kerry Jig,,,,,,,,,,,,,,,,,,,
Miscellaneous,992,171,The Humors of Kilkenny,The Humours of Kilkenny,"Your Bag is Handsome, My Boy",Yoy Stay Away a Long time,,,,,,,,,,,,,,,,
Miscellaneous,993,171,The Merry Merchant,The Bright Sun's Glorious Ray,Canny Sugach,The Jolly Merchant,The Merchant's Daughter,Who'll Buy My Besoms?,The World is Turned Upside Down,,,,,,,,,,,,,
Miscellaneous,994,171,A Sprig of Shillelah,The Black Joke,Darling Nedeen,The Irish Dragoon,Irish Oak,Oh! Love is the Soul of a Neat Irish Man,Paddy McShane,Shandrum Boggon,The Sprig of Shillelah,Sublime Was the Warning,Thistle Sae Green,When the Bright Spark of Freedom,,,,,,,,
Miscellaneous,995,171,Down the Hill,,,,,,,,,,,,,,,,,,,
Miscellaneous,996,171,The Wedding of Ballyporeen,Ballynamona Oro,Condy Magan,Darling Kippeen of the Stick,You Know I'm Your Priest,,,,,,,,,,,,,,,
Miscellaneous,997,171,Shuffle and Cut,Paddy's Experience,,,,,,,,,,,,,,,,,,
Miscellaneous,998,172,The Girl of the Big House,The Housekeeper,,,,,,,,,,,,,,,,,,
Miscellaneous,999,172,All the Way to Galway,,,,,,,,,,,,,,,,,,,
Miscellaneous,1000,172,High Caul Cap,High-Caul Cap,The Bonnie Lassie,What Shall I Do?,,,,,,,,,,,,,,,,
